Order Number,Order Date,Order Date (year),"Order Date (month,day)",Delivery Date,Receipt Date,Completed Date,Supplier Code,Supplier Name,Order Status,SubTotal,Currency,SubTotal (GBP)
PO-00005799,2018-01-03,2018,2019-01-03,2018-01-03,2018-01-19,2018-01-19,Company1,Company1,Complete,130.75,GBP,130.75
PO-00005801,2018-01-03,2018,2019-01-03,2018-01-05,2018-01-12,2018-01-12,Company2,Company2,Complete,5610.0,EUR,4972.525
PO-00005802,2018-01-03,2018,2019-01-03,2018-01-03,2018-01-12,2018-01-12,Company3,Company3,Complete,6104.95,GBP,6104.95
PO-00005802/1,2018-01-03,2018,2019-01-03,2018-01-03,2018-02-05,2018-02-05,Company3,Company3,Complete,1540.7749999999999,GBP,1540.7749999999999
PO-00005804,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-11,2018-01-11,Company4,Company4,Complete,5596.5,GBP,5596.5
PO-00005805,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-11,2018-01-11,Company5,Company5,Complete,2746.125,GBP,2746.125
PO-00005806,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-10,2018-01-10,Company6,Company6,Complete,32625.0,GBP,32625.0
PO-00005807,2018-01-04,2018,2019-01-04,2018-01-04,2018-01-09,2018-01-09,Company7,Company7,Complete,1021.25,GBP,1021.25
PO-00005806/1,2018-01-04,2018,2019-01-04,2018-01-29,2018-02-02,2018-02-02,Company6,Company6,Complete,10462.5,GBP,10462.5
PO-00005803/1,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-22,2018-01-22,Company8,Company8,Complete,1782.55,GBP,1782.55
PO-00005810/1,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-08,2018-01-08,Company8,Company8,Complete,9354.5,GBP,9354.5
PO-00005813,2018-01-05,2018,2019-01-05,2018-01-05,2018-02-08,2018-02-08,Company9,Company9,Complete,276.75,GBP,276.75
PO-00005812,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-18,2018-01-18,Company10,Company10,Complete,5320.0,GBP,5320.0
PO-00005810,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-05,2018-01-05,Company8,Company8,Complete,1100.0,GBP,1100.0
PO-00005809,2018-01-05,2018,2019-01-05,2018-01-08,2018-01-08,2018-01-08,Company11,Company11,Complete,940.0,GBP,940.0
PO-00005808,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-08,2018-01-08,Company12,Company12,Complete,43.5,GBP,43.5
PO-00005803,2018-01-05,2018,2019-01-05,2018-01-05,2018-01-16,2018-01-16,Company8,Company8,Complete,23559.35,GBP,23559.35
PO-00005811,2018-01-05,2018,2019-01-05,2018-03-01,2018-03-08,2018-03-08,Company13,Company13,Complete,393.40000000000003,GBP,393.40000000000003
PO-00005816,2018-01-08,2018,2019-01-08,2018-02-14,2018-02-16,2018-02-16,Company13,Company13,Complete,22154.6,GBP,22154.6
